"Exocrine"	"Endocrine"	"Classic"	"StromaActiv"	"Basal"	"StromaActivInflam"	"Immune"	"StromaInactive"	"ICA9"	"Tech"
"CPB1"	23.8034918295727	-0.314197937679012	0.545361814321031	-1.14258311949383	3.57113914995471	-0.906020604271653	1.64643427798358	1.77518514959528	-0.180448746549358	-0.0977919880914151
"CELA3A /// CELA3B"	22.5149241953366	-1.37063515771295	0.573332560941401	-1.18102830365065	3.23680486620188	-1.01473478789342	0.989800721345543	1.98201279862665	-0.0333979486023273	0.496595445496709
"PLA2G1B"	21.7012025442295	-0.631131252703131	-0.452133605276563	-0.457766532007374	0.677968079542963	-0.665719843648332	0.434383756343974	0.613377477821847	0.270157955082895	-0.520996660051547
"CEL"	21.3649367141168	0.241687186715946	-0.861430137013577	-0.659812048732854	0.903265778823186	-0.181399186519673	-0.016271244292692	0.176103244988717	-0.227369194706837	-0.109931687657014
"REG1B"	21.0480592125175	2.73216675271042	-1.15942566676542	0.286983872958539	1.54687599418669	-0.111242780605963	0.164184614224027	-0.514190031506866	0.905288042985691	-0.901281849201131
"PNLIP"	21.0268132991524	-2.31575838069167	0.125014756830971	-0.0558854488093119	-0.276577459413038	0.17127287373748	0.581758124215674	0.22040219428842	-0.81045657428973	0.130302433761718
"CPA1"	20.9905826518247	-0.638403983445586	-0.0428321518486148	-0.366030368970368	0.467293459493793	0.361549981876345	0.325690424231232	0.19727701367397	0.482066737232485	0.196494753920839
"CTRB2"	20.2403710583906	1.48295458173368	-0.171307780750659	-0.374410168064573	2.00548705486307	-0.662138865518803	0.485080030246243	0.480419135126868	-0.338672580539374	0.265945413066885
"CTRB1 /// CTRB2"	20.1550606059146	0.886538342581998	-0.0543530426288792	0.174681703127685	0.573721837992297	0.00836519480069848	0.596471735125789	-0.241304878115604	-0.0341058983704478	0.940864198022506
"CLPS"	20.0268077526062	-1.49268017408548	-0.43702230561646	-0.159627613411367	0.765202618863542	-0.7599844684353	0.462998940512784	0.478000283384492	-0.835515888018363	0.362954481609303
"PRSS1"	19.6708787895804	-1.56873249509198	0.745418348923633	-0.0251309298117129	0.576621382361075	-0.461096397973454	0.675396360258991	0.653730545915913	0.840365701258895	-0.457973305879651
"CELA3A"	19.6150726945199	-0.99887937441573	0.0389394362126988	0.02250339860425	0.331431579583114	-0.329309786365037	0.0873212783306611	0.480633392281529	0.356742659886721	0.656606095126807
"ACTG2"	0.0989202048341014	-18.5323893751988	0.609545812269866	1.15435628730484	0.891225918872396	-1.31730274673204	-1.41652888186504	2.57854740295366	0.196021088146765	-0.385439824235276
"PRSS2 /// PRSS3 /// PRSS3P2"	17.659357885186	0.480034269021024	1.45483742548858	-0.230920639222801	-0.582512380520764	-0.0560275060278206	-0.556633685983687	-0.426242343849348	1.80270052326728	-0.17541926940124
"CPA2"	17.628185259524	0.42930188275248	-0.702570811483947	0.64968215396255	-1.50735117599907	0.466353351091779	-0.406386452773419	-0.49523970211437	-0.345339960779019	0.0892153273149612
"REG1A"	17.4575414361931	-0.462947880448744	2.77852850979319	-0.057061686034913	-1.11567812724994	0.927745568027389	-0.760099736405425	-0.696695097809045	1.01530309690603	-0.365209020436724
"PRSS1 /// PRSS2 /// PRSS3P1 /// PRSS3P2"	17.2651239524428	0.513315549221805	1.11602215297424	0.359673481503466	-0.955468796717853	0.00912896712785039	-0.631793688986027	-0.56674936638368	1.23812941777687	-0.440135653153664
"AMY1A /// AMY1B /// AMY1C /// AMY2A /// AMY2B /// AMYP1"	17.0725508044918	-1.38643586505082	-0.360425674161648	-0.416683569284871	-1.43592389507251	1.24281478300646	-0.771690653216898	0.518081254546522	-1.03335703763519	-0.48494107148467
"DES"	0.26990050463052	-16.557523123568	1.27298315877515	-3.1598713218098	-0.972983488739559	0.107863341114359	-1.18319669836888	2.73520321204883	0.76479138932314	1.09954645670987
"REG3A"	16.4989633137443	0.458388930855399	1.04253696434095	0.789268420519098	-1.62519970288389	-0.12918598769629	0.0241095983798646	-1.3192534503328	0.648130109387746	-0.00181590359819851
"GCG"	1.72956645840435	16.1239949629496	1.59447307055712	0.50305028099955	2.3897192854235	1.7996504076961	-3.55656777920173	4.61166506812182	1.034199542464	0.302444887079894
"AMY1A /// AMY1B /// AMY1C"	16.0062257692069	-1.6805199845294	-0.53918946356837	-0.165956715465945	-0.986716308791884	0.662308739671866	-0.641102418547534	0.240143026684885	-1.61723150328957	-0.41139409430038
"GP2"	15.9423655079864	-0.59292730329258	0.944650489837678	-0.505109273939762	-3.03411133649827	0.701101209652545	-0.430673744844803	-1.28151287040178	0.691030452736432	-0.0800878602924396
"CTRC"	15.9347698040166	0.454708403550755	-0.489415223130242	0.576904392134346	-1.78396837785833	0.538627390280916	-0.668754467684622	-0.922159408218172	-0.455046242681509	0.633613131708981
"PNLIPRP1"	14.856882745182	1.03792323015845	-0.808136103425438	1.74740682292457	-2.36453030496506	0.593905299758499	-1.10727830725224	-1.29522007036488	-0.65171372038577	0.0328867700246093
"SYCN"	14.8010126659863	-0.32102435637147	-0.817116347587251	0.695961910192196	-2.20770524089115	0.596687818408513	-0.742153593837077	-0.907435154368806	-0.538575925661723	0.503057227706294
"AMY2B"	14.7008775055418	-1.01764115205686	-0.629459680332885	-0.0610493718482636	-1.78030481033992	0.907623015697786	-0.916326017332546	0.418979462051766	-0.744334260541536	0.185935535920786
"TTR"	2.60569016760388	14.2709584626298	1.47239191586354	0.150545320739193	1.07024270937894	0.429921609942661	-2.32763402209779	4.1373851813359	1.30010358802545	-0.0552956012109663
"CUZD1 /// FAM24B-CUZD1"	14.2616435007236	0.909776458555494	-1.20584055424165	1.67964343191424	-2.2961966160965	1.30613488855671	-1.1161129439803	-1.69450684755806	-0.950853932932606	-0.00943802930601188
"PNLIPRP2"	13.9097372647727	-0.73528270417323	-0.959941564141721	1.14109396117717	-2.55564219167783	0.224566925109188	-1.26775903545899	-0.961293512852644	-0.875140588869372	0.505032321248086
"INS /// INS-IGF2"	4.7755999508868	13.4544370884878	1.30914577712619	-0.284128482545674	-0.058708131923215	0.443596966688048	-1.20642823628639	3.86986438837893	1.89435812097952	0.709188103780578
"COL11A1"	-1.22083148332022	3.96054451216961	-0.110395554017437	13.2239143752844	-0.442734831622004	0.490849670022231	-0.571348335622854	-1.75843617027957	-0.384936481166992	-0.279701969875349
"CELA2A"	13.189908365055	-1.54427922299264	-0.411130722611386	0.584289727997092	-1.63470811968234	1.17687480679433	-0.839098077407197	-0.493620447828802	0.147748909653816	0.684785511934495
"CLDN18"	-1.78243321647157	3.22009541970643	13.1374765067033	2.58747122619273	-4.75221719127122	0.00493749143840126	2.04331515222026	-1.81059070714556	-0.554803610373034	-0.282530610120261
"CELA2B"	13.0163933573503	-0.361104878661603	-0.518375931841566	1.37177867254126	-2.42607417156182	0.203871020816731	-0.771713438165983	-1.12180510540601	-0.816652681592132	1.24942639951385
"REG3G"	12.9816448220018	2.31620416489483	-1.30100982662478	1.56237789221904	-2.84647077401348	0.522691336735586	-0.365666200583508	-2.04570141675712	-0.442803490416408	0.193912004927238
"DES /// SUPT20H"	0.282831116756668	-12.9726434937066	0.900646963302727	-2.87162988241064	0.0303788243735529	-0.352016572236093	-1.18204245975789	2.50768700828045	-0.0812673392266681	1.95630659368636
"CHGB"	3.79475336253361	12.8181813196248	0.265987134172055	-1.08709633335407	0.70694246284025	0.464286786643839	-1.89380388018848	3.71584507598858	1.69592047066161	0.32637839985659
"TFF1"	-1.2844325143243	2.41915394069847	12.4479192314625	-0.791705330377131	1.86859283627712	2.78320226688781	-0.569395094374434	1.05935948164248	-0.105755655140751	0.42272940709425
"CTRL"	12.1116890399389	-0.0348805924209945	-0.949086226697193	1.25467038669762	-3.15593715670732	0.146995002802907	-0.72604748625638	-1.25875833746752	-0.0333127623371812	0.367286790227534
"KLK1"	11.2712420363345	0.946479793711919	0.557813230426845	0.149125632623264	-2.4397400772543	0.526049632911026	-1.73649546085606	-1.4987764568237	-0.0980398074420667	-0.150852778953243
"KRT6A"	1.52350327577154	2.00384405523639	-4.47516542738691	0.89101096122927	11.1827287514663	-0.381604885585109	0.137755311740209	-1.3658213615523	0.077397930802411	-0.682111542922487
"ERP27"	11.1326224691161	1.49989367018141	-2.33647535623389	0.471507251462452	-1.97849943109374	-0.510829368061212	-1.91531512359854	-0.410752472024272	-2.01289367188751	-1.29627274767375
"MYH11"	-0.18671185604078	-11.0565731570026	2.93624360405091	0.0965617793725566	0.297551068080214	-0.819472389263403	-1.37690458239225	4.84136884318059	0.0550930339574363	-0.511424197260772
"TNC"	1.34896676265532	-11.036093920288	-3.19736312741529	-1.66304675141987	2.5138236001517	1.97676562779422	1.02631886615593	-0.145456788673576	0.73501519010157	-1.35339885646157
"NR4A1"	-0.539887613177474	0.708586299933118	1.52487304861313	1.28995103333933	-2.63511787947654	10.9486795591143	-1.51099172950044	0.212258070443739	0.400596963575838	-0.209412110014549
"ANXA10"	-0.142512570592226	0.87079494850342	10.5919130735706	-0.521351333147936	-0.137325786859519	1.84232492000071	-0.926592928011528	0.424511835520532	-0.958955206055741	-0.819150199675923
"REG4"	-1.40838759672517	4.57733696686733	10.3662543392486	-4.62622904619989	-4.88181592420118	3.28474398649665	-2.70002483298703	1.30236341142699	1.28369357754635	-1.79148320170126
"TSPAN8"	0.164807613923047	-1.93240865621715	10.2783203675578	1.83008667759466	-1.16613090310562	-0.0986333827969565	0.735249728231088	0.142776935214972	-0.679626534643872	-0.0520710660705477
"SPINK1"	10.1970250190842	-0.606916150279746	6.9358262354967	2.74428842148654	-3.01280810645538	-0.179866256312179	-0.506740077738944	-0.639153290066951	0.891811336815094	0.0672325110837437
"DHRS9"	1.35744656154401	0.545966268583799	1.76857785009427	-4.03225685242001	9.87401661134053	4.50773877434401	-2.77437099803053	2.10398735088745	-0.310293429409619	0.0316550728443258
"HBB"	0.299978200216413	-3.47418038461967	2.05878895221365	-1.93173708836558	1.48252667264452	9.84123639070008	0.67888759816953	0.737831138379239	-1.71859078095847	0.63352195377072
"COL17A1"	-0.173665966550296	1.03639241022173	2.658156621046	-1.49031177711338	9.81761004069913	0.19259716020575	0.657208169305125	-0.652069484560535	-2.07370855676458	0.155941430130763
"CTSE"	-0.813496074633321	-0.293402110326774	9.71142180236164	3.57715101918612	-0.385081163773619	-1.2241475683748	2.02213220707009	0.205230521663978	-1.00944088568299	-0.148286690428012
"NR4A3"	-0.144046811465856	-0.471723128540796	1.02597642538795	0.750834499771215	-1.45371441181391	9.66415616200518	0.739241354820331	0.153508031741668	-1.43149647418757	0.297129483638192
"PIGR"	2.1396069819637	-1.56553951005791	9.4387847210408	-1.06242096005458	0.228272644257968	-3.34799258440931	3.2979045238319	2.46085580043372	-1.00014767939135	1.01507182987224
"CEACAM6"	0.275997198119959	-0.771363462711547	9.32775446270137	0.347826234682313	6.19838706557655	2.3021666259792	-0.397696623839855	1.315090006789	-2.13435867528879	0.238053660461601
"OLFM4"	4.47388099143774	4.0610552896016	9.31814160605065	0.707525434842582	-1.17012033084794	-1.09071385925641	0.726588520983901	0.81739442900804	-0.678853819269011	-0.178364068334201
"KLK10"	1.15947267426499	-4.43083399352248	4.17059723088171	0.207194045232676	9.312047193914	1.20231820676358	3.26665493345328	-0.4360442852082	0.66053686383207	1.19839386028868
"PPY"	6.0923634634506	9.29191266651421	0.23376424402841	-2.71014589932986	0.873844324795332	-2.97715212984271	1.9948902338356	4.02528358494177	-0.338214499228316	0.844389606177703
"FXYD2 /// FXYD6 /// FXYD6-FXYD2"	9.24237479457987	4.69514138675361	1.24716387060672	-2.51166596347286	2.15566060365557	-0.596940103735725	-0.130769865898201	2.6750811867674	0.0767890592028444	0.450829621207875
"TRIM29"	-0.556492656777844	-0.54627386463999	4.15229381564023	2.42235782370164	9.23136790035681	-2.39181116910995	2.30178992994795	0.169495071475338	-0.527722526431986	-0.694899552894672
"MATN3"	-2.88948251378904	9.20965768593105	1.25562101020435	6.13649951701901	-1.473066167843	-0.925683744697351	0.230580258703549	4.22575214938436	0.476894053985944	0.47683023885042
"DMBT1"	1.54564701674497	-2.70224841044765	9.12115263010401	-4.58072887118638	1.48658370565481	1.94146645229551	1.36373712504364	1.12808197891302	1.46622311520444	0.945088332094633
"COL10A1"	-0.57402498642363	3.7285055493007	1.45790396143454	9.08544529392871	1.16132509446162	-1.20933928200205	-0.12013325273796	1.75326023178108	-0.131367186697247	0.163957963998823
"CNN1"	0.0048716202048089	-9.01189905219607	0.530346304383872	1.39652713287643	-0.746254149725381	1.72468739968038	-0.671127195789158	2.80220981277856	1.13467623716542	-0.0910991347416856
"LRRC15"	-1.18648622425027	1.10852571097471	-0.314070784424071	9.0057652845834	-2.03215626363597	0.413741894960399	-0.898092775468539	-1.4648471752328	-0.806024793758875	0.2752637139331
"ANXA8 /// ANXA8L1 /// LINC00842"	1.29318200302575	1.70368033471079	-4.10264172622536	0.956463442372585	9.00337349867248	-3.09478161488271	-0.26141542533512	-0.131799318746809	0.672570908638018	-0.921106164449652
"FOSB"	-1.17541523561782	-0.512882622700296	0.904890471958372	-0.0812815722060149	-2.52430870081719	8.97300261646762	0.217648807580278	1.00445176918214	-0.525701370759034	0.247566951654432
"MUC17"	-1.64270053762229	0.598688442992984	8.96450894509778	-3.23750150265556	1.24415627810613	3.02278297927778	1.10181308901964	-0.419717696363907	-0.296434413060799	0.557695375772036
"SYNM"	-0.299264981296632	-8.92867537898058	0.468778555472516	-2.87853293066512	-0.0398624434026787	0.070767514281659	-0.597269281743233	2.30574924884114	0.0993158298949979	0.239185695467484
"C7"	2.23220711572802	4.70968225199154	2.49754758263649	-3.75086458680803	-0.497802254251177	3.16281652591988	1.61649407135507	8.90472321023968	0.770575868211733	-0.133249645908609
"PADI1"	1.47958059760311	-0.756603401713587	0.958418690228557	2.24407381035118	8.88806096619349	-1.14041851405806	-1.69427020581465	0.939037362139588	0.523688156602202	0.97584739081419
"CEACAM5"	-1.92286908181408	2.67923944564614	8.83996437103407	-1.84851277086415	5.47453193438519	3.90795542266788	-4.67774467216869	2.38670161254843	-0.376167389459625	-0.606926775803715
"RBPJL"	8.83463587780294	-0.00575614713075609	-0.995871469219263	1.05787250056223	-2.79780019582599	0.472655063690821	-1.6687274960003	-0.800828946705146	-0.346748356614596	0.376169450930823
"GATM"	8.80731204223403	1.71238163906571	3.08236560546329	1.58196835285644	-3.96981533478509	-1.39126800582275	-0.846099693377263	-1.13185379777441	-2.05446943772966	-1.79531458430261
"PGC"	0.0488450336300065	-3.43104930302655	8.02210076367566	1.69327169719107	-8.7893693691102	-0.346912384422518	0.129149729049187	-0.884080281953553	1.29635039013396	1.01731089631629
"GREM1"	0.722838356539658	-8.78602302743833	-0.0268572798468941	5.1795392071755	1.65275862979036	3.37135754670016	1.172130791745	-0.119103892141287	-2.01768773780247	-1.13000218147057
"GPX2"	-0.199223237479821	-0.0992207545671873	8.76419414538838	0.627975987572122	-1.49583690616937	-0.376455674267311	0.605635929729675	0.50765306422525	0.438196893747867	0.432928194612558
"MFAP5"	-1.21668670828907	1.114355560746	0.548637566725174	8.74915457740692	-4.06405630037499	1.63505204127901	0.354601812651513	2.06806199576689	-1.12319011548739	-0.643086606626379
"MUC16"	0.935364968660217	-0.585659203591544	-2.5786273037457	-1.03755394099507	8.72242677890477	-0.704458986433378	-1.32166334720212	-0.170423559028047	0.231659743098072	1.31492807100092
"PRSS3"	8.68899637255802	-0.56583234313962	2.79409398904655	-0.237296700338051	-1.57876787215618	1.32491776564151	-2.00075169918553	-1.8470655206741	1.28295138084264	0.431530885680338
"GABRP"	1.88798871419669	-8.68039727710283	5.30359964998943	0.720157232067507	5.95985524708546	-4.46111259837445	4.8329029411608	0.278831280318554	-2.42528531722807	0.809274628130294
"CRP"	8.66505778778083	2.79555705875661	1.06303583245905	-2.94808174302385	7.49863413296313	0.931636566840009	0.210131222069725	0.225999847350373	-0.031124849825338	0.288810227184639
"SCEL"	1.41316351874081	-0.819323296565871	-0.960952344658143	0.218100730380622	8.63553884399928	1.337059079557	-1.31480153656575	-0.068953527302192	-0.322542038152956	0.0952655342045659
"PLA2G2A"	-1.07002762416076	-7.23159204074241	2.86665530396155	-3.14798138814885	-6.5298707337875	8.58601697568121	2.12047967411901	3.15672340173333	1.68211239249509	-0.270850971528524
"SST"	2.55639503024522	8.54497797256898	1.24169969165108	-3.23677676028045	1.30977488468132	0.869417074285005	-0.993709965591405	4.21658146985715	1.56833026353244	-0.528638268658783
"SLC4A4"	8.52153501076797	2.18839230350783	3.81147402610089	-0.758353297956662	-2.25816025377507	-1.48452797066711	-1.47647674573251	0.515175364872868	-1.20726944363309	-1.25179292845471
"PDIA2"	8.46357966258719	0.431402099026631	-0.295313319105952	1.29373661128054	-4.32854939940067	0.710288203695932	-1.43153279344724	-1.65749486448723	0.245518292612576	0.598129776383257
"MMP11"	-0.0364033318534884	-1.00013589969382	1.62159339128048	8.36299137059904	1.91322232132775	-4.49546395908315	1.39083093081921	-0.386696816771969	0.673144987268339	1.54265014322538
"SLC30A8"	1.73683091492676	8.24493708789161	0.104668619865673	-0.85996634497343	0.00363538210204131	0.305644891769995	-0.727626890100275	2.48191737652163	0.568049803407201	0.106817709239363
"MT1G"	8.20754061093016	-0.694263746666577	0.716399402205725	-1.59822007952638	-2.09574400262515	0.883573994110336	0.497131589798693	-0.817082878422872	0.648006155769846	0.181396455227617
"LGALS4"	-0.833058570643506	-0.313235871551031	8.12952958905538	0.362777365408793	-0.929975879835156	-0.462501942326811	0.494434221014639	0.965331897030153	0.977562136738282	0.224425559265818
"EPS8L3"	-0.768893874389198	-1.82198408900878	8.06114853889046	1.22331207446714	-0.796166468993546	-0.696186126241564	0.379520457916174	-0.565128506221354	-0.0256529906971329	0.376165299803212
"CFTR"	8.01856186777937	3.60560861528419	2.63716340909946	-0.346212900536592	-0.614998468034227	-1.97977999851415	-0.258811794391167	1.01963985960243	-0.544833912278858	-0.749665506685421
"ATF3"	-0.58049502920334	1.90430302106578	1.51313736817451	0.278126125672742	-0.60769517799212	7.95852556235058	-1.11197664484937	-0.951828902683256	-0.0172900599672685	-0.375946271365158
