Gene ID	5 STIM clusters
FAM150B	Hepati Stem-like
DEFB1	Hepati Stem-like
PAQR5	Hepati Stem-like
SMA5	Hepati Stem-like
GUSBP3	Hepati Stem-like
VEPH1	Hepati Stem-like
FXYD6-FXYD2	Hepati Stem-like
PDZK1P1	Hepati Stem-like
SMAD5	Hepati Stem-like
SFRP5	Hepati Stem-like
MKKS	Hepati Stem-like
DEFB132	Hepati Stem-like
NEURL3	Hepati Stem-like
SEC14L6	Hepati Stem-like
KAAG1	Hepati Stem-like
SNAP25-AS1	Hepati Stem-like
EGLN1	Hepati Stem-like
AQP1	Hepati Stem-like
MAN2A1	Hepati Stem-like
FXYD2	Hepati Stem-like
HOMER2	Hepati Stem-like
FGF12	Hepati Stem-like
LOC145783	Hepati Stem-like
GALNT18	Hepati Stem-like
MBOAT4	Hepati Stem-like
SFT2D2	Hepati Stem-like
TRPC5OS	Hepati Stem-like
CDC20B	Hepati Stem-like
VPS41	Hepati Stem-like
LOC102724084	Hepati Stem-like
RPRD1A	Hepati Stem-like
ATP1A1	Hepati Stem-like
OLAH	Hepati Stem-like
S100A1	Hepati Stem-like
DCDC2	Hepati Stem-like
CLLU1	Hepati Stem-like
SNRPN	Hepati Stem-like
HN1L	Hepati Stem-like
VAT1L	Hepati Stem-like
LOC647859	Hepati Stem-like
SNURF	Hepati Stem-like
CHST9	Hepati Stem-like
DSEL	Hepati Stem-like
SLC39A6	Hepati Stem-like
BLOC1S5	Hepati Stem-like
TSPAN6	Hepati Stem-like
FMO1	Hepati Stem-like
RBPMS-AS1	Hepati Stem-like
CHST4	Hepati Stem-like
C1QL4	Hepati Stem-like
PDZK1	Hepati Stem-like
PIK3AP1	Hepati Stem-like
MARVELD2	Hepati Stem-like
GDNF	Hepati Stem-like
ATP1A1-AS1	Hepati Stem-like
SYNGR1	Hepati Stem-like
PSG3	Hepati Stem-like
FAM135B	Hepati Stem-like
GNB5	Hepati Stem-like
MAEL	Hepati Stem-like
ANO6	Hepati Stem-like
AQP4	Hepati Stem-like
SCARB2	Hepati Stem-like
SLC25A30	Hepati Stem-like
WARS2	Hepati Stem-like
SPP1	Hepati Stem-like
RIC8B	Hepati Stem-like
TMEM72	Hepati Stem-like
TACC1	Hepati Stem-like
DSTYK	Hepati Stem-like
GLIS3	Hepati Stem-like
KLHDC9	Hepati Stem-like
LOC101928233	Hepati Stem-like
APCDD1	Hepati Stem-like
PIGC	Hepati Stem-like
ZNF669	Hepati Stem-like
LRRN4	Hepati Stem-like
NUAK2	Hepati Stem-like
KCNMA1	Hepati Stem-like
LYPD1	Hepati Stem-like
AKR1C1	Hepati Stem-like
CRLF2	Hepati Stem-like
LINC00113	Hepati Stem-like
LAT2	Hepati Stem-like
TM4SF4	Hepati Stem-like
SRI	Tumor Classical
LOC102723885	Tumor Classical
WBSCR22	Tumor Classical
IL1R2	Tumor Classical
SLC25A40	Tumor Classical
TMEM159	Tumor Classical
MET	Tumor Classical
PINLYP	Tumor Classical
ST7	Tumor Classical
CANT1	Tumor Classical
CKLF	Tumor Classical
CKLF-CMTM1	Tumor Classical
TALDO1	Tumor Classical
PDIA2	Tumor Classical
NUDT16P1	Tumor Classical
SMPD2	Tumor Classical
BCCIP	Tumor Classical
VASP	Tumor Classical
TSPO	Tumor Classical
GTF2E2	Tumor Classical
NSG1	Tumor Classical
ST7-OT3	Tumor Classical
UNC50	Tumor Classical
LYZ	Tumor Classical
BSG	Tumor Classical
TMBIM1	Tumor Classical
TMEM238	Tumor Classical
TK1	Tumor Classical
TES	Tumor Classical
RBM48	Tumor Classical
TRIM54	Tumor Classical
ST7-AS1	Tumor Classical
PPARG	Tumor Classical
LOC389641	Tumor Classical
SLC35A1	Tumor Classical
BRI3	Tumor Classical
HN1	Tumor Classical
RRAS	Tumor Classical
SNX9	Tumor Classical
ST7-AS2	Tumor Classical
DHX32	Tumor Classical
C11orf86	Tumor Classical
